engine,window,period,protective_stop_pct,initial_equity,final_equity,return_pct,maxdd_pct,maxdd_usd,events,delta_return_vs_base_pct,delta_maxdd_vs_base_pct,delta_equity_vs_base_usd
fev1,10d,2026-03-31 to 2026-04-10,6.0,10000.0,14672.196011305648,46.7219601130565,5.532837161482751,811.7887133191089,4,-19.696577894715105,5.5268288163670585,-1969.657789471512
fev1,1m,2026-03-11 to 2026-04-10,6.0,10000.0,15547.048511643414,55.47048511643413,14.67528294854502,2281.573359231228,12,-22.895703190039853,3.4397186186740782,-2289.570319003986
fev1,2m,2026-02-08 to 2026-04-10,6.0,10000.0,16102.036557130948,61.020365571309476,14.675282948545021,2363.019425237124,19,-98.95755056320002,3.4397186186740765,-9895.755056319998
fev1,3m,2026-01-08 to 2026-04-10,6.0,10000.0,19354.210979551794,93.54210979551793,14.675282948545012,2840.2852237075913,27,-116.83668789417463,3.4397186186740676,-11683.668789417465
fev1,4m,2025-12-09 to 2026-04-10,6.0,10000.0,21137.981215919528,111.3798121591953,14.675282948545007,3102.058553046485,34,-98.60295511271207,3.439718618674073,-9860.295511271208
fev1,5m,2025-11-08 to 2026-04-10,6.0,10000.0,18543.935414834592,85.43935414834591,14.675282948545014,2721.374991922421,40,-201.8488526832304,3.439718618674057,-20184.88526832304
fev1,6m,2025-10-09 to 2026-04-10,6.0,10000.0,14937.222269253387,49.372222692533875,25.157858130725476,3757.8851871699,50,-173.19543451567708,13.92229380085454,-17319.54345156771
fev1,1y,2025-04-10 to 2026-04-10,6.0,10000.0,20541.046307131972,105.41046307131974,29.399556820004182,6038.976580488636,106,-380.0331758473636,17.744095471068302,-38003.31758473636
fev1,10d,2026-03-31 to 2026-04-10,7.0,10000.0,14672.196011305648,46.7219601130565,5.532837161482751,811.7887133191089,4,-19.696577894715105,5.5268288163670585,-1969.657789471512
fev1,1m,2026-03-11 to 2026-04-10,7.0,10000.0,15967.27984314009,59.6727984314009,7.586904750406878,1211.4223129299553,11,-18.693389875073088,-3.6486595794640637,-1869.3389875073099
fev1,2m,2026-02-08 to 2026-04-10,7.0,10000.0,16006.541564068515,60.065415640685146,13.103788758780611,2097.463394141956,18,-99.91250049382434,1.8682244289096666,-9991.250049382432
fev1,3m,2026-01-08 to 2026-04-10,7.0,10000.0,20092.43030140195,100.92430301401949,17.695693700367308,3555.4949230958773,26,-109.45449467567308,6.460129370496363,-10945.449467567309
fev1,4m,2025-12-09 to 2026-04-10,7.0,10000.0,19423.95535648965,94.23955356489648,17.695693700367308,3437.2036443804973,33,-115.74321370701088,6.460129370496373,-11574.321370701087
fev1,5m,2025-11-08 to 2026-04-10,7.0,10000.0,16188.00764705526,61.8800764705526,17.695693700367297,2864.580249414934,39,-225.4081303610237,6.46012937049634,-22540.813036102372
fev1,6m,2025-10-09 to 2026-04-10,7.0,10000.0,12164.649051968838,21.64649051968839,37.76133476216029,4593.533851155911,49,-200.92116668852256,26.525770432289352,-20092.11666885226
fev1,1y,2025-04-10 to 2026-04-10,7.0,10000.0,18360.36596495898,83.6036596495898,44.47679908127916,8166.103080822367,103,-401.83997926909353,32.82133773234328,-40183.99792690936
fev1,10d,2026-03-31 to 2026-04-10,8.0,10000.0,14609.359491126232,46.09359491126233,5.845403619556925,853.976028488376,4,-20.324943096509273,5.839395274441232,-2032.4943096509287
fev1,1m,2026-03-11 to 2026-04-10,8.0,10000.0,14175.293884847724,41.75293884847724,17.03336549345784,2414.529617177892,10,-36.613249457996744,5.7978011635868985,-3661.3249457996753
fev1,2m,2026-02-08 to 2026-04-10,8.0,10000.0,15704.460423279204,57.044604232792054,17.03336549345784,2674.9981426725826,15,-102.93331190171743,5.797801163586895,-10293.331190171742
fev1,3m,2026-01-08 to 2026-04-10,8.0,10000.0,18991.665617760787,89.91665617760786,17.033365493457858,3234.9198179685663,23,-120.4621415120847,5.797801163586913,-12046.21415120847
fev1,4m,2025-12-09 to 2026-04-10,8.0,10000.0,17801.923222476653,78.01923222476653,17.033365493457836,3032.2666473491954,30,-131.96353504714085,5.797801163586902,-13196.353504714083
fev1,5m,2025-11-08 to 2026-04-10,8.0,10000.0,15564.866054012042,55.64866054012041,18.02789447424404,2806.017627274723,35,-231.6395462914559,6.792330144373082,-23163.95462914559
fev1,6m,2025-10-09 to 2026-04-10,8.0,10000.0,11908.030721122108,19.08030721122107,36.445778593967354,4339.9745115217775,44,-203.4873499969899,25.210214264096418,-20348.73499969899
fev1,1y,2025-04-10 to 2026-04-10,8.0,10000.0,20524.05394734766,105.2405394734766,38.19033140400767,7838.204220029389,95,-380.20309944520676,26.534870055071792,-38020.309944520675
