candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp5.2_rv85_tr1.20_th1.15,357.3423,26.155,331.1873,4,2,2,53.9012,-0.49,True
C_sp5.2_rv90_tr1.20_th1.15,357.3423,26.155,331.1873,4,2,2,53.9012,-0.49,True
C_sp5.5_rv75_tr1.25_th1.20,357.2721,26.2675,331.0046,3,2,2,53.831,-0.3775,True
C_sp5.5_rv80_tr1.25_th1.20,357.2721,26.2675,331.0046,3,2,2,53.831,-0.3775,True
C_sp5.5_rv85_tr1.25_th1.20,357.2721,26.2675,331.0046,3,2,2,53.831,-0.3775,True
C_sp5.5_rv90_tr1.25_th1.20,357.2721,26.2675,331.0046,3,2,2,53.831,-0.3775,True
C_sp5.0_rv70_tr1.10_th1.10,356.673,26.4325,330.2405,4,2,2,53.232,-0.2125,True
C_sp5.5_rv70_tr1.05_th1.15,356.352,26.2775,330.0745,4,2,2,52.911,-0.3675,True
C_sp5.2_rv75_tr1.10_th1.10,355.3653,26.4625,328.9028,4,2,2,51.9243,-0.1825,True
C_sp5.2_rv80_tr1.10_th1.10,355.3653,26.4625,328.9028,4,2,2,51.9243,-0.1825,True
C_sp5.2_rv85_tr1.10_th1.10,355.3653,26.4625,328.9028,4,2,2,51.9243,-0.1825,True
C_sp5.2_rv90_tr1.10_th1.10,355.3653,26.4625,328.9028,4,2,2,51.9243,-0.1825,True
C_sp5.2_rv70_tr1.20_th1.15,354.823,26.155,328.668,4,2,2,51.382,-0.49,True
C_sp5.5_rv70_tr1.25_th1.20,354.499,26.2675,328.2315,3,2,2,51.0579,-0.3775,True
C_sp5.5_rv75_tr1.20_th1.15,354.1166,26.2,327.9166,4,2,2,50.6756,-0.445,True
C_sp5.5_rv80_tr1.20_th1.15,354.1166,26.2,327.9166,4,2,2,50.6756,-0.445,True
C_sp5.5_rv85_tr1.20_th1.15,354.1166,26.2,327.9166,4,2,2,50.6756,-0.445,True
C_sp5.5_rv90_tr1.20_th1.15,354.1166,26.2,327.9166,4,2,2,50.6756,-0.445,True
C_sp5.2_rv70_tr1.10_th1.10,352.8813,26.4625,326.4188,4,2,2,49.4403,-0.1825,True
C_sp4.8_rv75_tr1.25_th1.15,352.3546,26.195,326.1596,3,2,2,48.9135,-0.45,True
C_sp4.8_rv80_tr1.25_th1.15,352.3546,26.195,326.1596,3,2,2,48.9135,-0.45,True
C_sp4.8_rv85_tr1.25_th1.15,352.3546,26.195,326.1596,3,2,2,48.9135,-0.45,True
C_sp4.8_rv90_tr1.25_th1.15,352.3546,26.195,326.1596,3,2,2,48.9135,-0.45,True
C_sp5.5_rv75_tr1.10_th1.10,352.1672,26.5075,325.6597,4,2,2,48.7261,-0.1375,True
C_sp5.5_rv80_tr1.10_th1.10,352.1672,26.5075,325.6597,4,2,2,48.7261,-0.1375,True
C_sp5.5_rv85_tr1.10_th1.10,352.1672,26.5075,325.6597,4,2,2,48.7261,-0.1375,True
C_sp5.5_rv90_tr1.10_th1.10,352.1672,26.5075,325.6597,4,2,2,48.7261,-0.1375,True
C_sp5.5_rv70_tr1.20_th1.15,351.3808,26.2,325.1808,4,2,2,47.9397,-0.445,True
C_sp4.8_rv70_tr1.25_th1.15,350.3286,26.195,324.1336,3,2,2,46.8876,-0.45,True
C_sp5.0_rv75_tr1.25_th1.15,349.3691,26.195,323.1741,3,2,2,45.9281,-0.45,True
C_sp5.0_rv80_tr1.25_th1.15,349.3691,26.195,323.1741,3,2,2,45.9281,-0.45,True
C_sp5.0_rv85_tr1.25_th1.15,349.3691,26.195,323.1741,3,2,2,45.9281,-0.45,True
C_sp5.0_rv90_tr1.25_th1.15,349.3691,26.195,323.1741,3,2,2,45.9281,-0.45,True
C_sp5.5_rv70_tr1.10_th1.10,349.4696,26.5075,322.9621,4,2,2,46.0286,-0.1375,True
C_sp4.8_rv75_tr1.15_th1.10,348.4074,26.5375,321.8698,4,1,1,44.9663,-0.1075,True
C_sp4.8_rv80_tr1.15_th1.10,348.4074,26.5375,321.8698,4,1,1,44.9663,-0.1075,True
C_sp4.8_rv85_tr1.15_th1.10,348.4074,26.5375,321.8698,4,1,1,44.9663,-0.1075,True
C_sp4.8_rv90_tr1.15_th1.10,348.4074,26.5375,321.8698,4,1,1,44.9663,-0.1075,True
C_sp5.0_rv70_tr1.25_th1.15,347.1383,26.195,320.9433,3,2,2,43.6972,-0.45,True
C_sp4.8_rv70_tr1.15_th1.10,346.4266,26.5375,319.8891,4,1,1,42.9855,-0.1075,True
C_sp5.2_rv75_tr1.25_th1.15,345.86,26.2225,319.6375,3,2,2,42.4189,-0.4225,True
C_sp5.2_rv80_tr1.25_th1.15,345.86,26.2225,319.6375,3,2,2,42.4189,-0.4225,True
C_sp5.2_rv85_tr1.25_th1.15,345.86,26.2225,319.6375,3,2,2,42.4189,-0.4225,True
C_sp5.2_rv90_tr1.25_th1.15,345.86,26.2225,319.6375,3,2,2,42.4189,-0.4225,True
