window,start,end,profile,exec_model,exec_model_effective,status,cpu_start_equity,cpu_final_equity,cpu_return_pct,cpu_max_dd_pct,cpu_cagr_pct,cpu_avg_daily_return_pct,cpu_window_trades,gpu_final_equity,gpu_return_pct,gpu_max_dd_pct,gpu_window_trades,cpu_gpu_diff_bps
1m,2026-02-20,2026-03-20,trailing12_4_adapt,paper_live_style_optimistic,synthetic,ok,10000.0,19146.043034193575,91.46043034193576,8.62982686148236,654389.1383093542,3.6439896558941904,14,19146.043034193575,91.46043034193576,8.62982686148236,14,0.0
2m,2026-01-20,2026-03-20,trailing12_4_adapt,paper_live_style_optimistic,synthetic,ok,10000.0,28364.841485135836,183.64841485135835,14.56310652643767,70914.2148714591,2.774009639789583,27,28364.841485135836,183.64841485135835,14.56310652643767,27,0.0
3m,2025-12-20,2026-03-20,trailing12_4_adapt,paper_live_style_optimistic,synthetic,ok,10000.0,21961.17187887096,119.61171878870958,35.99999861283735,2618.71751311897,1.5390649015668774,30,21961.17187887096,119.61171878870958,35.99999861283735,30,0.0
6m,2025-09-20,2026-03-20,trailing12_4_adapt,paper_live_style_optimistic,synthetic,ok,10000.0,31510.31979733618,215.1031979733618,38.778751444116054,953.9217471656899,1.1455573476799459,49,31510.31979733618,215.1031979733618,38.778751444116054,49,0.0
1y,2025-03-20,2026-03-20,trailing12_4_adapt,paper_live_style_optimistic,synthetic,ok,10000.0,54106.78825287709,441.0678825287709,38.778751444116075,444.2141005208018,0.824180256212402,250,54106.78825287709,441.0678825287709,38.778751444116075,250,0.0
2y,2024-03-20,2026-03-20,trailing12_4_adapt,paper_live_style_optimistic,synthetic,ok,10000.0,39797.484969986246,297.9748496998625,60.90418744887155,99.77675250179144,0.4358034032596481,467,39797.484969986246,297.9748496998625,60.90418744887154,463,0.0
3y,2023-03-20,2026-03-20,trailing12_4_adapt,paper_live_style_optimistic,synthetic,ok,10000.0,19735.536996536317,97.35536996536318,83.5729468781982,25.453772196808732,0.243070736589507,505,19735.536996536317,97.35536996536318,83.5729468781982,496,0.0
5y,2021-03-20,2026-03-20,trailing12_4_adapt,paper_live_style_optimistic,synthetic,ok,10000.0,34956.80554790413,249.56805547904128,84.2475949129613,28.499118009161073,0.24764973230833823,1101,34956.805547904056,249.56805547904057,84.24759491296133,1071,2.081413761967636e-11
10y,2016-03-20,2026-03-20,trailing12_4_adapt,paper_live_style_optimistic,synthetic,ok,10000.0,9255.425362077722,-7.4457463792227845,93.9941849564682,-0.7712920045229499,0.13617441508394285,1485,9255.425362077702,-7.445746379222983,93.9941849564682,1474,2.16185455084397e-11
1m,2026-02-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,paper_live_style_optimistic,synthetic,ok,10000.0,20868.751929784055,108.68751929784057,8.62982686148236,2099213.6792409504,4.134052964500599,18,20868.751929784055,108.68751929784057,8.62982686148236,18,0.0
2m,2026-01-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,paper_live_style_optimistic,synthetic,ok,10000.0,33575.08936813685,235.75089368136847,14.56310652643767,205275.11889845974,3.2218624548413173,32,33575.08936813685,235.75089368136847,14.56310652643767,32,0.0
3m,2025-12-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,paper_live_style_optimistic,synthetic,ok,10000.0,26262.996869293464,162.62996869293463,35.34056015858177,5661.332984331357,1.8686039734176778,35,26262.996869293464,162.62996869293463,35.34056015858177,35,0.0
6m,2025-09-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,paper_live_style_optimistic,synthetic,ok,10000.0,42394.15098843658,323.9415098843658,36.85936000695815,1837.361425541715,1.4066397356222053,61,42394.15098843658,323.9415098843658,36.85936000695815,61,0.0
1y,2025-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,paper_live_style_optimistic,synthetic,ok,10000.0,81492.75226350574,714.9275226350574,36.85936000695814,720.8198078488014,1.0010394469741792,268,81492.75226350574,714.9275226350574,36.85936000695814,266,0.0
2y,2024-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,paper_live_style_optimistic,synthetic,ok,10000.0,71491.83712833049,614.9183712833049,58.97485050482463,167.92120839185122,0.5619412482629198,496,71491.83712833049,614.9183712833049,58.97485050482463,490,0.0
3y,2023-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,paper_live_style_optimistic,synthetic,ok,10000.0,44539.80923672764,345.3980923672764,80.62381961245627,64.58777224377815,0.35875342998184456,556,44539.80923672764,345.3980923672764,80.62381961245627,548,0.0
5y,2021-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,paper_live_style_optimistic,synthetic,ok,10000.0,106427.85307694235,964.2785307694235,80.62382489284015,60.61173076508055,0.342578770684933,1160,106427.8530769423,964.2785307694229,80.62382489284015,1137,5.469213108281532e-12
10y,2016-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,paper_live_style_optimistic,synthetic,ok,10000.0,48621.72837203315,386.21728372033147,90.76768529888014,17.14670629650965,0.20681179414999443,1619,48621.72837203323,386.21728372033226,90.76768529888014,1594,1.6460857405894587e-11
