Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Window Index,Window Period
2024-11-04,7165.363184582729,SOXS,no change,no change,15:55,SOXL,SOXL,7285.320131762848,119.95694718011873,1.6741223590483578,0.75820057518842,7,2024-10-10 to 2024-11-10
2024-11-05,7285.320131762848,SOXL,no change,no change,15:55,SOXS,SOXS,7528.723061303619,243.40292954077086,3.3410052700302506,0.0,7,2024-10-10 to 2024-11-10
2024-11-06,7528.723061303619,SOXS,no change,no change,no change,no change,SOXS,6880.040880873788,-648.6821804298306,-8.616098309737929,8.616098309737927,7,2024-10-10 to 2024-11-10
2024-11-07,6880.040880873788,SOXS,no change,no change,no change,no change,SOXS,6443.637853224421,-436.4030276493677,-6.343029572143221,14.412606218129543,7,2024-10-10 to 2024-11-10
2024-11-08,6443.637853224421,SOXS,no change,no change,no change,no change,SOXS,6617.066920072867,173.42906684844638,2.6914775597089324,12.109040720550773,7,2024-10-10 to 2024-11-10
2024-11-11,6617.066920072867,CASH,no change,no change,15:55,SOXL,SOXL,6616.405279544913,-0.6616405279537503,-0.00999900009998056,0.009999000099978802,8,2024-11-10 to 2024-12-10
2024-11-12,6616.405279544913,SOXL,no change,no change,no change,no change,SOXL,6416.5160233235865,-199.88925622132683,-3.0211156629007974,3.030812581642625,8,2024-11-10 to 2024-12-10
2024-11-13,6416.5160233235865,SOXL,no change,no change,no change,no change,SOXL,5988.6942817595955,-427.82174156399105,-6.667508348905993,9.496241248627904,8,2024-11-10 to 2024-12-10
2024-11-14,5988.6942817595955,SOXL,no change,no change,no change,no change,SOXL,5993.628760809538,4.934479049942638,0.08239657624486973,9.42166925004385,8,2024-11-10 to 2024-12-10
2024-11-15,5993.628760809538,SOXL,no change,no change,no change,no change,SOXL,5412.662331793374,-580.9664290161645,-9.693066624595136,18.201487197083246,8,2024-11-10 to 2024-12-10
2024-11-18,5412.662331793374,SOXL,no change,no change,no change,no change,SOXL,5605.5030093462765,192.8406775529029,3.5627694049964687,15.287194809198805,8,2024-11-10 to 2024-12-10
2024-11-19,5605.5030093462765,SOXL,no change,no change,no change,no change,SOXL,5633.219178401744,27.716169055467617,0.49444570824874745,14.86833597959576,8,2024-11-10 to 2024-12-10
2024-11-20,5633.219178401744,SOXL,no change,no change,no change,no change,SOXL,5505.062178677142,-128.15699972460243,-2.2750224279567854,16.80510042935277,8,2024-11-10 to 2024-12-10
2024-11-21,5505.062178677142,SOXL,no change,no change,no change,no change,SOXL,5763.272714610338,258.2105359331963,4.690419972608617,12.902910243699443,8,2024-11-10 to 2024-12-10
