Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2026-03-17,25802.56,SOXL,no change,no change,no change,no change,SOXL,26321.4,518.84,2.01,0.0,,
2026-03-18,26321.4,SOXL,no change,no change,no change,no change,SOXL,26162.86,-158.53,-0.6,0.6,,
2026-03-19,26162.86,SOXL,no change,no change,no change,no change,SOXL,26417.48,254.61,0.97,0.0,,
2026-03-20,26417.48,SOXL,no change,no change,no change,no change,SOXL,24378.16,-2039.32,-7.72,7.72,,
2026-03-23,24378.16,SOXL,07:13,SOXL,15:55,SOXS,SOXS,26076.94,1698.78,6.97,1.29,55.4,38.94
2026-03-24,26076.94,SOXS,no change,no change,no change,no change,SOXS,25319.83,-757.11,-2.9,4.15,,
2026-03-25,25319.83,SOXS,no change,no change,no change,no change,SOXS,24304.2,-1015.63,-4.01,8.0,,
2026-03-26,24304.2,SOXS,11:05,SOXS,15:55,SOXL,SOXL,26415.21,2111.0,8.69,0.01,39.225,48.99
2026-03-27,26415.21,SOXL,no change,no change,no change,no change,SOXL,25121.14,-1294.07,-4.9,4.91,,
2026-03-30,25121.14,SOXL,no change,no change,no change,no change,SOXL,21996.5,-3124.64,-12.44,16.74,,
2026-03-31,21996.5,SOXL,10:07,SOXL,15:55,SOXL,SOXL,23641.71,1645.21,7.48,10.51,43.8809,47.945
2026-04-01,23641.71,SOXL,09:43,SOXL,15:55,SOXL,SOXL,25210.34,1568.64,6.64,4.57,51.08,52.205
2026-04-02,25210.34,SOXL,no change,no change,no change,no change,SOXL,25480.77,270.43,1.07,3.55,,
2026-04-06,25480.77,SOXL,no change,no change,no change,no change,SOXL,26417.62,936.85,3.68,0.0,,
2026-04-07,26417.62,SOXL,19:33,SOXL,15:55,SOXL,SOXL,30551.79,4134.17,15.65,0.0,63.06,56.375
2026-04-08,30551.79,SOXL,04:03,SOXL,15:55,SOXL,SOXL,34671.23,4119.44,13.48,0.0,64.33,67.35
2026-04-09,34671.23,SOXL,no change,no change,no change,no change,SOXL,37026.4,2355.17,6.79,0.0,,
2026-04-10,37026.4,SOXL,no change,no change,no change,no change,SOXL,39348.12,2321.71,6.27,0.0,,
