Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-10,32771.06,SOXL,no change,no change,no change,no change,SOXL,32401.27,-369.78,-1.13,24.85,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-11,32401.27,SOXL,no change,no change,no change,no change,SOXL,34904.13,2502.86,7.72,19.05,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-12,34904.13,SOXL,no change,no change,no change,no change,SOXL,32333.7,-2570.43,-7.36,25.01,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-13,32333.7,SOXL,no change,no change,15:55,SOXS,SOXS,32882.13,548.43,1.7,23.74,,1.775
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-17,32882.13,SOXS,no change,no change,15:55,SOXL,SOXL,32786.23,-95.9,-0.29,23.96,,64.235
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-18,32786.23,SOXL,no change,no change,no change,no change,SOXL,33909.14,1122.9,3.42,21.35,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-19,33909.14,SOXL,no change,no change,no change,no change,SOXL,33118.0,-791.14,-2.33,23.19,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-20,33118.0,SOXL,no change,no change,no change,no change,SOXL,34090.33,972.33,2.94,20.93,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-23,34090.33,SOXL,no change,no change,no change,no change,SOXL,33325.94,-764.39,-2.24,22.71,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-24,33325.94,SOXL,no change,no change,no change,no change,SOXL,35044.8,1718.86,5.16,18.72,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-25,35044.8,SOXL,no change,no change,no change,no change,SOXL,36698.53,1653.73,4.72,14.88,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-26,36698.53,SOXL,no change,no change,no change,no change,SOXL,33232.84,-3465.69,-9.44,22.92,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-27,33232.84,SOXL,no change,no change,15:55,SOXS,SOXS,31942.77,-1290.07,-3.88,25.91,,1.7999
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-02,31942.77,SOXS,no change,no change,no change,no change,SOXS,31944.55,1.77,0.01,25.91,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-03,31944.55,SOXS,no change,no change,no change,no change,SOXS,36736.88,4792.33,15.0,14.79,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-04,36736.88,SOXS,no change,no change,no change,no change,SOXS,34341.39,-2395.49,-6.52,20.35,,
