engine,window,period,stop_scope,protective_stop_pct,rv_gate_min_pct,rv_gate_window,initial_equity,final_equity,return_pct,maxdd_pct,maxdd_usd,events,delta_return_vs_base_pct,delta_maxdd_vs_base_pct,delta_equity_vs_base_usd
v1,5m,2025-11-09 to 2026-04-11,inverse_only,5.0,60.0,20,10000.0,21599.85067771494,115.9985067771494,20.80291157061775,4730.365495360607,34,10.418938705719057,-1.32746847770294,1041.8938705719083
v1,6m,2025-10-10 to 2026-04-11,inverse_only,5.0,60.0,20,10000.0,21917.845714582178,119.17845714582178,20.802911570617763,4800.006381889731,42,-22.07356080508599,-1.3274684777028796,-2207.356080508598
v1,1y,2025-04-11 to 2026-04-11,inverse_only,5.0,60.0,20,10000.0,21979.874366546643,119.79874366546643,31.976694182996045,7399.09486527322,89,-19.85924849362074,4.984052101500687,-1985.9248493620726
v1,10d,2026-04-01 to 2026-04-11,inverse_only,5.0,80.0,20,10000.0,13062.528097340444,30.625280973404443,5.009499999999998,688.8766192790536,3,10.532219283850218,-7.659013388734993,1053.2219283850227
v1,1m,2026-03-12 to 2026-04-11,inverse_only,5.0,80.0,20,10000.0,14085.755598952379,40.85755598952379,12.744600948303278,1889.8451336078524,9,13.748924816640141,-0.006555095552469581,1374.8924816640138
v1,2m,2026-02-09 to 2026-04-11,inverse_only,5.0,80.0,20,10000.0,21834.422940565026,118.34422940565025,12.744600948303273,2929.4614441863105,18,1.5912429007013174,-0.006555095552482015,159.1242900701327
v1,3m,2026-01-09 to 2026-04-11,inverse_only,5.0,80.0,20,10000.0,19077.076740611992,90.77076740611992,13.343134965179239,2679.7207056607494,25,-11.746826933066941,0.5919789213234825,-1174.6826933066914
v1,4m,2025-12-10 to 2026-04-11,inverse_only,5.0,80.0,20,10000.0,16538.42098417651,65.38420984176511,20.986385907000585,3653.85680743195,29,7.488857643181383,-1.1495245608745357,748.8857643181382
v1,5m,2025-11-09 to 2026-04-11,inverse_only,5.0,80.0,20,10000.0,21533.00521622943,115.33005216229428,20.980642855593775,4756.015517860707,33,9.750484090863935,-1.1497371927269135,975.0484090863974
v1,6m,2025-10-10 to 2026-04-11,inverse_only,5.0,80.0,20,10000.0,21850.016147914346,118.50016147914349,20.980642855593786,4826.034026437885,41,-22.751856471764285,-1.1497371927268567,-2275.1856471764295
v1,1y,2025-04-11 to 2026-04-11,inverse_only,5.0,80.0,20,10000.0,21424.849134145974,114.24849134145974,34.37075579939056,7752.23056651471,86,-25.409500817627432,7.3781137178952,-2540.9500817627413
v1,10d,2026-04-01 to 2026-04-11,inverse_only,6.0,0.0,20,10000.0,12918.5558794471,29.185558794471,6.056463716509223,832.8488371723979,3,9.092497104916774,-6.612049672225768,909.2497104916783
v1,1m,2026-03-12 to 2026-04-11,inverse_only,6.0,0.0,20,10000.0,13725.53358293261,37.2553358293261,12.744600948303283,1862.0381479907337,9,10.146704656442452,-0.006555095552464252,1014.6704656442453
v1,2m,2026-02-09 to 2026-04-11,inverse_only,6.0,0.0,20,10000.0,19712.786228603145,97.12786228603146,12.744600948303287,2674.282915054646,17,-19.625124218917477,-0.0065550955524678045,-1962.512421891748
v1,3m,2026-01-09 to 2026-04-11,inverse_only,6.0,0.0,20,10000.0,17552.241237168084,75.52241237168084,13.299778258177973,2484.90663246841,24,-26.995181967506014,0.5486222143222168,-2699.5181967505996
v1,4m,2025-12-10 to 2026-04-11,inverse_only,6.0,0.0,20,10000.0,15037.801202407227,50.37801202407226,22.249123629578534,3561.478642444721,28,-7.517340174511467,0.11321316170341333,-751.7340174511464
