Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2025-12-23,7710.39,SOXL,no change,no change,no change,no change,SOXL,7803.12,92.73,1.2,52.9,,
2025-12-24,7803.12,SOXL,no change,no change,no change,no change,SOXL,7862.97,59.85,0.77,52.54,,
2025-12-26,7862.97,SOXL,no change,no change,no change,no change,SOXL,7910.32,47.35,0.6,52.25,,
2025-12-29,7910.32,SOXL,no change,no change,no change,no change,SOXL,7825.44,-84.88,-1.07,52.76,,
2025-12-30,7825.44,SOXL,no change,no change,no change,no change,SOXL,7812.32,-13.11,-0.17,52.84,,
2025-12-31,7812.32,SOXL,no change,no change,no change,no change,SOXL,7567.29,-245.04,-3.14,54.32,,
2026-01-02,7567.29,SOXL,09:30,SOXL,15:55,SOXL,SOXL,8059.53,492.25,6.5,51.35,45.99,47.24
2026-01-05,8059.53,SOXL,09:36,SOXL,15:55,SOXL,SOXL,8562.07,502.54,6.24,48.32,50.37,49.01
2026-01-06,8562.07,SOXL,10:36,SOXL,15:55,SOXL,SOXL,9224.47,662.4,7.74,44.32,52.795,54.11
2026-01-07,9224.47,SOXL,no change,no change,no change,no change,SOXL,8891.62,-332.85,-3.61,46.33,,
2026-01-08,8891.62,SOXL,no change,no change,no change,no change,SOXL,8463.3,-428.32,-4.82,48.91,,
2026-01-09,8463.3,SOXL,no change,no change,no change,no change,SOXL,9244.93,781.63,9.24,44.2,,
2026-01-12,9244.93,SOXL,no change,no change,no change,no change,SOXL,9356.59,111.66,1.21,43.52,,
2026-01-13,9356.59,SOXL,no change,no change,no change,no change,SOXL,9548.38,191.79,2.05,42.36,,
2026-01-14,9548.38,SOXL,no change,no change,no change,no change,SOXL,9406.03,-142.35,-1.49,43.22,,
2026-01-15,9406.03,SOXL,08:00,SOXL,15:55,SOXL,SOXL,10100.51,694.48,7.38,39.03,60.45,58.19
2026-01-16,10100.51,SOXL,no change,no change,no change,no change,SOXL,10541.4,440.89,4.37,36.37,,
2026-01-20,10541.4,SOXL,no change,no change,no change,no change,SOXL,10087.49,-453.91,-4.31,39.11,,
2026-01-21,10087.49,SOXL,11:42,SOXL,15:55,SOXL,SOXL,10936.51,849.02,8.42,33.99,63.125,63.6
2026-01-22,10936.51,SOXL,no change,no change,no change,no change,SOXL,10924.47,-12.04,-0.11,34.06,,
2026-01-23,10924.47,SOXL,no change,no change,no change,no change,SOXL,10553.05,-371.43,-3.4,36.3,,
2026-01-26,10553.05,SOXL,no change,no change,no change,no change,SOXL,10434.39,-118.65,-1.12,37.02,,
2026-01-27,10434.39,SOXL,15:54,SOXL,15:55,SOXL,SOXL,11118.32,683.92,6.55,32.89,64.675,64.96
