Date,runtime_switch_loop_v1 Day End Equity,runtime_switch_loop_v1 PnL ($),runtime_switch_loop_v1 Return %,runtime_switch_loop_v1 Drawdown %,runtime_switch_loop_v2_controlplane Day End Equity,runtime_switch_loop_v2_controlplane PnL ($),runtime_switch_loop_v2_controlplane Return %,runtime_switch_loop_v2_controlplane Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %
2025-11-06,10669.93,906.04,9.28,27.44,14686.57,-1427.06,-8.86,20.41,14686.57,-1427.06,-8.86,20.41
2025-11-07,10210.76,-459.18,-4.3,30.56,14054.54,-632.03,-4.3,23.84,14054.54,-632.03,-4.3,23.84
2025-11-10,10981.17,770.41,7.55,25.32,15114.97,1060.43,7.55,18.09,15114.97,1060.43,7.55,18.09
2025-11-11,10183.49,-797.68,-7.26,30.75,14017.01,-1097.96,-7.26,24.04,14017.01,-1097.96,-7.26,24.04
2025-11-12,10626.81,443.31,4.35,27.73,14627.21,610.2,4.35,20.74,14627.21,610.2,4.35,20.74
2025-11-13,9531.95,-1094.85,-10.3,35.18,13120.21,-1507.0,-10.3,28.9,13120.21,-1507.0,-10.3,28.9
2025-11-14,9449.31,-82.64,-0.87,35.74,13006.45,-113.75,-0.87,29.52,13006.45,-113.75,-0.87,29.52
2025-11-17,8972.97,-476.34,-5.04,38.98,12350.8,-655.66,-5.04,33.07,12350.8,-655.66,-5.04,33.07
2025-11-18,8449.3,-523.67,-5.84,42.54,11630.0,-720.8,-5.84,36.98,11630.0,-720.8,-5.84,36.98
2025-11-19,8901.53,452.23,5.35,39.46,12252.46,622.46,5.35,33.6,12252.46,622.46,5.35,33.6
2025-11-20,9415.26,513.73,5.77,35.97,12959.58,707.12,5.77,29.77,12959.58,707.12,5.77,29.77
2025-11-21,9665.68,250.42,2.66,34.27,13304.27,344.69,2.66,27.9,13304.27,344.69,2.66,27.9
2025-11-24,10350.19,684.51,7.08,29.61,14246.47,942.2,7.08,22.8,14246.47,942.2,7.08,22.8
2025-11-25,10375.98,25.79,0.25,29.44,14281.96,35.49,0.25,22.61,14281.96,35.49,0.25,22.61
2025-11-26,11269.67,893.69,8.61,23.36,15512.08,1230.12,8.61,15.94,15512.08,1230.12,8.61,15.94
2025-11-28,11772.87,503.2,4.47,19.94,16204.7,692.63,4.47,12.19,16204.7,692.63,4.47,12.19
2025-12-01,11874.66,101.79,0.86,19.25,16344.81,140.1,0.86,11.43,16344.81,140.1,0.86,11.43
2025-12-02,12551.33,676.67,5.7,14.64,17276.2,931.4,5.7,6.38,17276.2,931.4,5.7,6.38
2025-12-03,13351.28,799.96,6.37,9.2,18377.3,1101.1,6.37,0.41,18377.3,1101.1,6.37,0.41
2025-12-04,12915.46,-435.82,-3.26,12.17,17777.42,-599.88,-3.26,3.66,17777.42,-599.88,-3.26,3.66
2025-12-05,13345.55,430.09,3.33,9.24,18369.41,591.99,3.33,0.46,18369.41,591.99,3.33,0.46
2025-12-08,13685.32,339.77,2.55,6.93,18837.08,467.67,2.55,0.0,18837.08,467.67,2.55,0.0
2025-12-09,13719.72,34.41,0.25,6.7,18884.44,47.36,0.25,0.0,18884.44,47.36,0.25,0.0
2025-12-10,14297.47,577.75,4.21,2.77,19679.68,795.24,4.21,0.0,19679.68,795.24,4.21,0.0
2025-12-11,13921.86,-375.61,-2.63,5.32,19162.67,-517.0,-2.63,2.63,19162.67,-517.0,-2.63,2.63
2025-12-12,11949.21,-1972.66,-14.17,18.74,16447.42,-2715.25,-14.17,16.42,16447.42,-2715.25,-14.17,16.42
2025-12-15,11765.7,-183.5,-1.54,19.99,16194.84,-252.58,-1.54,17.71,16194.84,-252.58,-1.54,17.71
2025-12-16,11678.25,-87.45,-0.74,20.58,16074.47,-120.37,-0.74,18.32,16074.47,-120.37,-0.74,18.32
2025-12-17,10283.34,-1394.91,-11.94,30.07,14154.45,-1920.02,-11.94,28.08,14154.45,-1920.02,-11.94,28.08
2025-12-18,11354.24,1070.9,10.41,22.79,15628.48,1474.03,10.41,20.59,15628.48,1474.03,10.41,20.59
2025-12-19,12108.38,754.14,6.64,17.66,16666.51,1038.03,6.64,15.31,16666.51,1038.03,6.64,15.31
2025-12-22,12483.26,374.88,3.1,15.11,17182.51,516.0,3.1,12.69,17182.51,516.0,3.1,12.69
2025-12-23,12633.38,150.13,1.2,14.09,17389.15,206.64,1.2,11.64,17389.15,206.64,1.2,11.64
