Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
G1-570248,2025-08-13,13804.25,SOXL,no change,no change,no change,no change,SOXL,14420.83,616.58,4.47,2.6,,
G1-570248,2025-08-14,14420.83,SOXL,no change,no change,no change,no change,SOXL,14527.54,106.71,0.74,1.88,,
G1-570248,2025-08-15,14527.54,SOXL,no change,no change,no change,no change,SOXL,13486.88,-1040.66,-7.16,8.91,,
G1-570248,2025-08-18,13486.88,SOXL,no change,no change,no change,no change,SOXL,13548.39,61.51,0.46,8.49,,
G1-570248,2025-08-19,13548.39,SOXL,no change,no change,no change,no change,SOXL,12865.21,-683.18,-5.04,13.11,,
G1-570248,2025-08-20,12865.21,SOXL,no change,no change,no change,no change,SOXL,12692.24,-172.97,-1.34,14.28,,
G1-570248,2025-08-21,12692.24,SOXL,no change,no change,no change,no change,SOXL,12512.63,-179.61,-1.42,15.49,,
G1-570248,2025-08-22,12512.63,SOXL,10:21,SOXL,15:55,SOXL,SOXL,13586.73,1074.1,8.58,8.24,27.605,27.455
G1-570248,2025-08-25,13586.73,SOXL,no change,no change,no change,no change,SOXL,13566.91,-19.82,-0.15,8.37,,
G1-570248,2025-08-26,13566.91,SOXL,no change,no change,no change,no change,SOXL,13871.42,304.51,2.24,6.31,,
G1-570248,2025-08-27,13871.42,SOXL,no change,no change,no change,no change,SOXL,13950.6,79.17,0.57,5.78,,
G1-570248,2025-08-28,13950.6,SOXL,no change,no change,no change,no change,SOXL,14156.03,205.44,1.47,4.39,,
G1-570248,2025-08-29,14156.03,SOXL,no change,no change,no change,no change,SOXL,12797.16,-1358.87,-9.6,13.57,,
G1-570248,2025-09-02,12797.16,SOXL,no change,no change,no change,no change,SOXL,12492.27,-304.89,-2.38,15.63,,
G1-570248,2025-09-03,12492.27,SOXL,no change,no change,no change,no change,SOXL,12269.92,-222.36,-1.78,17.13,,
G1-570248,2025-09-04,12269.92,SOXL,no change,no change,no change,no change,SOXL,12653.57,383.66,3.13,14.54,,
G1-570248,2025-09-05,12653.57,SOXL,no change,no change,no change,no change,SOXL,13091.68,438.11,3.46,11.58,,
G1-570248,2025-09-08,13091.68,SOXL,no change,no change,no change,no change,SOXL,13383.77,292.09,2.23,9.61,,
G1-570248,2025-09-09,13383.77,SOXL,no change,no change,no change,no change,SOXL,13440.7,56.93,0.43,9.22,,
G1-570248,2025-09-10,13440.7,SOXL,no change,no change,no change,no change,SOXL,14163.47,722.77,5.38,4.34,,
G1-570248,2025-09-11,14163.47,SOXL,no change,no change,no change,no change,SOXL,14411.01,247.54,1.75,2.67,,
G1-570248,2025-09-12,14411.01,SOXL,no change,no change,no change,no change,SOXL,14534.75,123.74,0.86,1.83,,
