Window,Profile,Scenario,CPU Final Equity,CPU Return %,CPU Max Drawdown %,CPU Trades,Delta Return % vs S0,Delta Final Equity vs S0,Delta Trades vs S0,GPU Final Equity,GPU Return %,GPU Max Drawdown %,GPU Trades,CPU-GPU Diff (bps),Start Equity,Start Date,End Date,Data Source,GPU Backend
3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S3_anchor_off,27509.41873548339,175.09418735483388,35.34056015858178,37,9.792978904735037,979.2978904735028,2,27509.41873548339,175.09418735483388,35.34056015858178,37,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S4_zero_costs,26623.13882189831,166.23138821898306,35.327626977295374,37,0.9301797688842157,93.01797688842271,2,26623.13882189831,166.23138821898306,35.327626977295374,37,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S5_profit_exec_market_close,18525.99693872991,85.2599693872991,36.025593494160006,36,-80.04123906279975,-8004.123906279976,1,18525.99693872991,85.2599693872991,36.025593494160006,36,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S6_runtime_like_bundle,19209.841155912556,92.09841155912557,36.02559349416,35,-73.20279689097327,-7320.2796890973295,0,19209.841155912556,92.09841155912557,36.02559349416,35,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,original_composer,S0_prev_like_baseline,20642.821542328693,106.42821542328691,39.11872168216416,32,0.0,0.0,0,20642.821542328693,106.42821542328691,39.11872168216416,32,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,original_composer,S1_threshold_5pct,20642.821542328693,106.42821542328691,39.11872168216416,27,0.0,0.0,-5,20642.821542328693,106.42821542328691,39.11872168216416,27,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,original_composer,S2_sequence_rebalance_then_profit,20642.821542328693,106.42821542328691,39.11872168216416,32,0.0,0.0,0,20642.821542328693,106.42821542328691,39.11872168216416,32,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,original_composer,S3_anchor_off,19709.602489883026,97.09602489883025,39.11872168216416,27,-9.332190524456664,-933.2190524456673,-5,19709.602489883026,97.09602489883025,39.11872168216416,27,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,original_composer,S4_zero_costs,20698.63236803515,106.98632368035148,39.10654420875325,27,0.5581082570645606,55.810825706455944,-5,20698.63236803515,106.98632368035148,39.10654420875325,27,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,original_composer,S5_profit_exec_market_close,20642.821542328693,106.42821542328691,39.11872168216416,32,0.0,0.0,0,20642.821542328693,106.42821542328691,39.11872168216416,32,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,original_composer,S6_runtime_like_bundle,19709.602489883026,97.09602489883025,39.11872168216416,27,-9.332190524456664,-933.2190524456673,-5,19709.602489883026,97.09602489883025,39.11872168216416,27,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,trailing12_4_adapt,S0_prev_like_baseline,31727.464313094682,217.27464313094683,38.77875144411608,50,0.0,0.0,0,31727.464313094682,217.27464313094683,38.77875144411608,50,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,trailing12_4_adapt,S1_threshold_5pct,31727.464313094682,217.27464313094683,38.77875144411608,47,0.0,0.0,-3,31727.464313094682,217.27464313094683,38.77875144411608,47,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,trailing12_4_adapt,S2_sequence_rebalance_then_profit,20604.52441445214,106.04524414452139,43.46311096524001,45,-111.22939898642544,-11122.939898642544,-5,20604.52441445214,106.04524414452139,43.46311096524001,45,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,trailing12_4_adapt,S3_anchor_off,30293.131602226815,202.93131602226816,38.778751444116075,50,-14.343327108678665,-1434.3327108678677,0,30293.131602226815,202.93131602226816,38.778751444116075,50,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,trailing12_4_adapt,S4_zero_costs,31876.93421597677,218.76934215976772,38.754258046259075,51,1.4946990288208895,149.4699028820869,1,31876.93421597677,218.76934215976772,38.754258046259075,51,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,trailing12_4_adapt,S5_profit_exec_market_close,20601.577157239768,106.01577157239768,39.143069323719516,49,-111.25887155854915,-11125.887155854914,-1,20601.577157239768,106.01577157239768,39.143069323719516,49,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,trailing12_4_adapt,S6_runtime_like_bundle,19670.222677710768,96.70222677710767,39.143069323719516,47,-120.57241635383916,-12057.241635383914,-3,19670.222677710768,96.70222677710767,39.143069323719516,47,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S0_prev_like_baseline,42686.29836893241,326.8629836893241,36.85936000695815,61,0.0,0.0,0,42686.29836893241,326.8629836893241,36.85936000695815,61,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S1_threshold_5pct,42686.29836893241,326.8629836893241,36.85936000695815,58,0.0,0.0,-3,42686.29836893241,326.8629836893241,36.85936000695815,58,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
